type,block_id,seed,intensity,r_mean,r_std,r_entropy,ks_gue,ks_poi,ks_margin,vote,reducer_ks,reducer_mode
zeta,zeta_42_0031,42031,raw,0.620128,0.216228,3.610729,0.072362,0.403204,0.330842,GUE,0.0,none
zeta,zeta_42_0031,42031,soft,0.612902,0.172509,3.357654,0.133103,0.464196,0.331093,GUE,0.110553,minimal
zeta,zeta_42_0031,42031,mid,0.612902,0.172509,3.357654,0.133103,0.464196,0.331093,GUE,0.110553,minimal
zeta,zeta_42_0031,42031,strong,0.618986,0.137978,3.205304,0.191018,0.510804,0.319786,GUE,0.18593,minimal
zeta,zeta_42_0032,42032,raw,0.619214,0.230218,3.60368,0.073555,0.372487,0.298932,GUE,0.0,none
zeta,zeta_42_0032,42032,soft,0.614049,0.198835,3.391575,0.096168,0.414133,0.317965,GUE,0.115578,minimal
zeta,zeta_42_0032,42032,mid,0.614049,0.198835,3.391575,0.096168,0.414133,0.317965,GUE,0.115578,minimal
zeta,zeta_42_0032,42032,strong,0.614935,0.155512,3.326204,0.137249,0.478894,0.341646,GUE,0.190955,minimal
zeta,zeta_42_0033,42033,raw,0.604481,0.225741,3.636872,0.047802,0.381784,0.333982,GUE,0.0,none
zeta,zeta_42_0033,42033,soft,0.590023,0.18759,3.439967,0.11853,0.434548,0.316018,GUE,0.085427,minimal
zeta,zeta_42_0033,42033,mid,0.590023,0.18759,3.439967,0.11853,0.434548,0.316018,GUE,0.085427,minimal
zeta,zeta_42_0033,42033,strong,0.596854,0.146822,3.309867,0.152513,0.491457,0.338945,GUE,0.155779,minimal
zeta,zeta_42_0034,42034,raw,0.602476,0.212299,3.614215,0.060113,0.401131,0.341018,GUE,0.0,none
zeta,zeta_42_0034,42034,soft,0.591822,0.170991,3.333442,0.12142,0.45358,0.332161,GUE,0.095477,minimal
zeta,zeta_42_0034,42034,mid,0.591822,0.170991,3.333442,0.12142,0.45358,0.332161,GUE,0.095477,minimal
zeta,zeta_42_0034,42034,strong,0.596181,0.148302,3.284993,0.155025,0.488505,0.33348,GUE,0.130653,minimal
zeta,zeta_42_0035,42035,raw,0.62683,0.236474,3.605074,0.07902,0.369849,0.290829,GUE,0.0,none
zeta,zeta_42_0035,42035,soft,0.622113,0.20141,3.423153,0.086872,0.416583,0.329711,GUE,0.100503,minimal
zeta,zeta_42_0035,42035,mid,0.622113,0.20141,3.423153,0.086872,0.416583,0.329711,GUE,0.100503,minimal
zeta,zeta_42_0035,42035,strong,0.621225,0.169137,3.35574,0.136118,0.470415,0.334296,GUE,0.160804,minimal
