type,block_id,seed,intensity,r_mean,r_std,r_entropy,ks_gue,ks_poi,ks_margin,vote,reducer_ks,reducer_mode
gue,gue_80000_0002,80000002,strong,0.626056,0.148569,3.27273,0.195226,0.526822,0.331595,GUE,0.160804,minimal
gue,gue_80000_0003,80000003,raw,0.591812,0.223134,3.656506,0.048932,0.371482,0.32255,GUE,0.0,none
gue,gue_80000_0003,80000003,soft,0.576358,0.18527,3.443781,0.117588,0.411181,0.293593,GUE,0.085427,minimal
gue,gue_80000_0003,80000003,mid,0.576358,0.18527,3.443781,0.117588,0.411181,0.293593,GUE,0.085427,minimal
gue,gue_80000_0003,80000003,strong,0.582832,0.150692,3.305012,0.163756,0.454146,0.290389,GUE,0.165829,minimal
gue,gue_80000_0004,80000004,raw,0.597942,0.228333,3.655818,0.035364,0.374749,0.339384,GUE,0.0,none
gue,gue_80000_0004,80000004,soft,0.585975,0.193127,3.403793,0.109862,0.425,0.315138,GUE,0.100503,minimal
gue,gue_80000_0004,80000004,mid,0.585975,0.193127,3.403793,0.109862,0.425,0.315138,GUE,0.100503,minimal
gue,gue_80000_0004,80000004,strong,0.588938,0.157086,3.311796,0.192274,0.447613,0.255339,GUE,0.19598,minimal
gue,gue_80000_0005,80000005,raw,0.612765,0.238625,3.629069,0.11005,0.372425,0.262374,GUE,0.0,none
gue,gue_80000_0005,80000005,soft,0.598986,0.203236,3.462231,0.108291,0.370477,0.262186,GUE,0.110553,minimal
gue,gue_80000_0005,80000005,mid,0.598986,0.203236,3.462231,0.108291,0.370477,0.262186,GUE,0.110553,minimal
gue,gue_80000_0005,80000005,strong,0.607037,0.167785,3.326381,0.156784,0.454083,0.297299,GUE,0.165829,minimal
gue,gue_80000_0006,80000006,raw,0.625327,0.245541,3.679022,0.096231,0.3625,0.266269,GUE,0.0,none
gue,gue_80000_0006,80000006,soft,0.620573,0.214187,3.440618,0.074623,0.402701,0.328078,GUE,0.105528,minimal
gue,gue_80000_0006,80000006,mid,0.620573,0.214187,3.440618,0.074623,0.402701,0.328078,GUE,0.105528,minimal
gue,gue_80000_0006,80000006,strong,0.627794,0.176779,3.374223,0.122048,0.460427,0.338379,GUE,0.165829,minimal
gue,gue_80000_0007,80000007,raw,0.602719,0.234027,3.676177,0.042839,0.369724,0.326884,GUE,0.0,none
gue,gue_80000_0007,80000007,soft,0.5909,0.200851,3.490693,0.07902,0.41495,0.33593,GUE,0.075377,minimal
